name,lat,lon,population
Tokyo,35.6870,139.7495,35676000
New York,40.7519,-73.9820,19040000
Mexico City,19.4444,-99.1329,19028000
Mumbai,19.0189,72.8550,18978000
São Paulo,-23.5567,-46.6270,18845000
Shanghai,31.2184,121.4346,14987000
Kolkata,22.4969,88.3227,14787000
Dhaka,23.7250,90.4066,12797394
Buenos Aires,-34.6006,-58.3995,12795000
Los Angeles,33.9919,-118.1819,12500000
Cairo,30.0519,31.2480,11893000
Rio de Janeiro,-22.9231,-43.2270,11748000
Ōsaka,34.7520,135.4582,11294000
Beijing,39.9308,116.3863,11106000
Manila,14.6061,120.9803,11100000
Moscow,55.7541,37.6136,10452000
Istanbul,41.1069,29.0081,10061000
Paris,48.8686,2.3314,9904000
Seoul,37.5683,126.9978,9796000
Lagos,6.4452,3.3896,9466000
Jakarta,-6.1725,106.8275,9125000
Chicago,41.8319,-87.7520,8990000
London,51.5019,-0.1187,8567000
Lima,-12.0461,-77.0520,8012000
Tehran,35.6739,51.4224,7873000
Kinshasa,-4.3278,15.3130,7843000
Bogota,4.5984,-74.0853,7772000
Hong Kong,22.3069,114.1831,7206000
Taipei,25.0358,121.5683,6900273
Bengaluru,12.9719,77.5581,6787000
Bangkok,13.7519,100.5147,6704000
Santiago,-33.4481,-70.6690,5720000
Miami,25.7896,-80.2261,5585000
Madrid,40.4020,-3.6853,5567000
Toronto,43.7019,-79.4220,5213000
Singapore,1.2950,103.8539,5183700
Luanda,-8.8363,13.2325,5172900
Baghdad,33.3406,44.3919,5054000
Khartoum,15.5900,32.5322,4754000
Sydney,-33.9181,151.1832,4630000
Atlanta,33.8320,-84.4019,4506000
Riyadh,24.6428,46.7708,4465000
Houston,29.8219,-95.3419,4459000
Hanoi,21.0353,105.8481,4378000
"Washington,  D.C.",38.9015,-77.0114,4338000
Melbourne,-37.8181,144.9731,4170000
Chengdu,30.6719,104.0681,4123000
Yangon,16.7853,96.1647,4088000
Abidjan,5.3219,-4.0420,3802000
Brasília,-15.7814,-47.9180,3716996
Ankara,39.9292,32.8624,3716000
Monterrey,25.6719,-100.3319,3712000
Ürümqi,43.8070,87.5731,3575000
San Francisco,37.7692,-122.4172,3450000
Johannesburg,-26.1681,28.0281,3435000
Berlin,52.5238,13.3996,3406000
Algiers,36.7650,3.0486,3354000
Rome,41.8979,12.4813,3339000
Pyongyang,39.0214,125.7527,3300000
Kabul,34.5186,69.1813,3277000
Athens,37.9853,23.7314,3242000
Cape Town,-33.9181,18.4330,3215000
Casablanca,33.6019,-7.6183,3181000
Tel Aviv,32.0819,34.7681,3112000
Addis Ababa,9.0353,38.6981,3100000
Nairobi,-1.2814,36.8147,3010000
Caracas,10.5029,-66.9190,2985000
Dar es Salaam,-6.7981,39.2664,2930000
Lisbon,38.7247,-9.1468,2812000
Kyiv,50.4353,30.5147,2709000
Dakar,14.7178,-17.4751,2604000
Damascus,33.5020,36.2981,2466000
Tunis,36.8028,10.1797,2412500
Vienna,48.2020,16.3647,2400000
Vancouver,49.2754,-123.1236,2313328
Denver,39.7411,-104.9860,2313000
Tripoli,32.8925,13.1800,2189000
Tashkent,41.3136,69.2930,2184000
Havana,23.1339,-82.3661,2174000
Santo Domingo,18.4720,-69.9020,2154000
Baku,40.3972,49.8603,2122300
Accra,5.5520,-0.2187,2121000
Kuwait City,29.3717,47.9764,2063000
Sanaa,15.3567,44.2046,2008000
Port-au-Prince,18.5430,-72.3380,1998000
Bucharest,44.4353,26.0980,1942000
Asunción,-25.2945,-57.6435,1870000
Beirut,33.8739,35.5078,1846000
Kyoto,35.0319,135.7481,1805000
Minsk,53.9019,27.5647,1805000
Brussels,50.8353,4.3314,1743000
Warsaw,52.2519,20.9981,1707000
Rabat,34.0253,-6.8364,1705000
Quito,-0.2130,-78.5020,1701000
Antananarivo,-18.9147,47.5147,1697000
Budapest,47.5020,19.0814,1679000
Yaoundé,3.8686,11.5147,1611000
La Paz,-16.4960,-68.1519,1590000
Abuja,9.0853,7.5314,1576000
Harare,-17.8158,31.0428,1572000
Montevideo,-34.8561,-56.1730,1513000
Bamako,12.6520,-8.0020,1494000
Conakry,9.5335,-13.6822,1494000
Phnom Penh,11.5520,104.9147,1466000
Lomé,6.1339,1.2208,1452000
Doha,25.2866,51.5330,1450000
Kuala Lumpur,3.1686,101.6980,1448000
Maputo,-25.9533,32.5872,1446000
San Salvador,13.7119,-89.2050,1433000
Kampala,0.3186,32.5814,1420000
The Hague,52.0800,4.2700,1406000
Dubai,25.2319,55.2780,1379000
Auckland,-36.8481,174.7630,1377200
Brazzaville,-4.2572,15.2827,1355000
Pretoria,-25.7050,28.2275,1338000
Lusaka,-15.4147,28.2814,1328000
San José,9.9370,-84.0860,1284000
Panama City,8.9700,-79.5350,1281000
Stockholm,59.3527,18.0954,1264000
Geneva,46.2100,6.1400,1240000
Sofia,42.6853,23.3147,1185000
Prague,50.0853,14.4640,1162000
Ouagadougou,12.3723,-1.5267,1149000
Ottawa,45.4186,-75.7020,1145000
Helsinki,60.1775,24.9322,1115000
Yerevan,40.1831,44.5116,1102000
Mogadishu,2.0686,45.3647,1100000
Tbilisi,41.7270,44.7888,1100000
Belgrade,44.8206,20.4660,1099000
Dushanbe,38.5600,68.7739,1086244
København,55.6805,12.5615,1085000
Amman,31.9520,35.9314,1060000
Dublin,53.3350,-6.2509,1059000
Monrovia,6.3146,-10.7997,1041000
Amsterdam,52.3519,4.9147,1031000
Jerusalem,31.7784,35.2066,1029300
Guatemala City,14.6231,-90.5289,1024000
